13:08:33.180 INFO  com.marsol.sync.MainClass - Starting MainClass using Java 17.0.11 with PID 9496 (C:\Users\z3eisla\Desktop\SyncHPRT_Service\Sync-1.0-SNAPSHOT.jar started by CL1NTS2V55000$ in C:\Users\z3eisla\Desktop\SyncHPRT_Service)
13:08:33.189 INFO  com.marsol.sync.MainClass - No active profile set, falling back to 1 default profile: "default"
13:08:35.085 INFO  o.s.s.config.TaskSchedulerRouter - More than one TaskScheduler bean exists within the context, and none is named 'taskScheduler'. Mark one of them as primary or name it 'taskScheduler' (possibly as an alias); or implement the SchedulingConfigurer interface and call ScheduledTaskRegistrar#setScheduler explicitly within the configureTasks() callback: [scaleNetThreadPoolTaskScheduler, dataProcessingThreadPoolTaskScheduler]
13:08:35.217 INFO  com.marsol.sync.MainClass - Started MainClass in 3.673 seconds (process running for 6.534)
13:08:35.222 INFO  com.marsol.sync.MainClass - Librería DLL cargada: C:\Users\z3eisla\Desktop\SyncHPRT_Service\lib\SyncSDK.dll
13:08:35.235 INFO  c.m.s.a.c.ScalesNetworkController - Evaluando si existen balanzas por actualizar.
13:08:35.237 INFO  c.m.s.a.c.ScalesNetworkController - Evaluando si existe balanzas que requieran una cargaLayout o cargaMaestra.
13:08:35.238 INFO  c.m.s.a.c.ScalesNetworkController - Actualizando Set de Balanzas Actualizacion Forzada.
13:08:35.507 INFO  c.m.s.i.api.ScaleService - [ScaleService] Solicitud de balanzas por Marca 'HPRT' realizada exitosamente.
13:08:35.599 INFO  c.m.s.d.service.ScaleQueueService - Balanza 10.107.127.109 añadida a la cola de carga forzada.
13:08:35.761 INFO  c.m.s.d.service.ScaleQueueService - Balanza 10.107.127.145 añadida a la cola de carga forzada.
13:08:35.829 INFO  c.m.s.d.service.ScaleQueueService - Balanza 10.107.127.120 añadida a la cola de carga forzada.
13:08:35.829 INFO  c.m.s.a.c.ScalesNetworkController - Actualizando lista de balanzas
13:08:35.841 INFO  c.m.s.i.api.ScaleService - [ScaleService] Solicitud de balanzas por Marca 'HPRT' realizada exitosamente.
13:08:36.056 INFO  c.m.s.d.service.ScaleQueueService - Balanza 10.107.127.109 añadida a cola de prioridad
13:08:36.171 INFO  c.m.s.d.service.ScaleQueueService - Balanza 10.107.127.145 añadida a cola de prioridad
13:08:36.342 INFO  c.m.s.d.service.ScaleQueueService - Balanza 10.107.127.120 añadida a cola de prioridad
13:08:36.382 INFO  c.m.s.d.service.ScaleQueueService - Balanza 10.105.197.14 añadida a cola de prioridad
13:09:35.096 INFO  c.m.s.a.c.ScalesNetworkController - Actualizando Set de Balanzas Actualizacion Forzada.
13:09:35.106 INFO  c.m.s.i.api.ScaleService - [ScaleService] Solicitud de balanzas por Marca 'HPRT' realizada exitosamente.
13:09:35.109 INFO  c.m.s.d.service.ScaleQueueService - Balanza 10.107.127.109 ya está en cola de carga forzada.
