LFCode	ItemCode	Department	Name1	Name2	Name3	Label1	Label2	BarcodeType1	BarcodeType2	UnitPrice	WeightUnit	TareWeight	ProducedDateTime	PackageDate	PackageTime	ValidDays	FreshDays	ValidDateCountF	ProducedDateF	PackageDateF	ValidDateF	FreshDateF	DiscountFlag	DiscountUnitPrice	DiscountStartDateTime	DiscountEndDateTime	ChangePriceFlag	ChangePriceMax	ChangePriceMin	YHMsgNo	YHMsgDept	SpeedCode
3585	2503585	98	PAN BAGUETTE KOSHER			2	0	104	0	1090	8	0	19-07-2024 13:26:01	0	0	0	0	0	0	0	0	0	0	0	19-07-2024 13:26:01	19-07-2024 13:26:01	0	0	0	0	0	PAN BAGUETTE KOSHER
3802	2038020	98	GALLETAS GRANEL			13	0	104	0	13990	8	0	19-07-2024 13:26:01	0	0	0	0	0	0	0	0	0	0	0	19-07-2024 13:26:01	19-07-2024 13:26:01	0	0	0	0	0	GALLETAS GRANEL
3805	2503805	98	BAGUETTE			2	0	104	0	1090	0	0	19-07-2024 13:26:01	0	0	0	0	0	0	0	0	0	0	0	19-07-2024 13:26:01	19-07-2024 13:26:01	0	0	0	0	0	BAGUETTE
3806	2038060	98	MEDIO BAGUETTE			16	0	104	0	3990	0	0	19-07-2024 13:26:01	0	0	0	0	0	0	0	0	0	0	0	19-07-2024 13:26:01	19-07-2024 13:26:01	0	0	0	0	0	MEDIO BAGUETTE
3807	2503807	98	PAN ITALIANO FAMILIA			2	0	104	0	1090	0	0	19-07-2024 13:26:01	0	0	0	0	0	0	0	0	0	0	0	19-07-2024 13:26:01	19-07-2024 13:26:01	0	0	0	0	0	PAN ITALIANO FAMILIA
3810	2503810	98	DONUT RELLENA MANJAR			13	0	104	0	1150	8	0	19-07-2024 13:26:01	0	0	0	0	0	0	0	0	0	0	0	19-07-2024 13:26:01	19-07-2024 13:26:01	0	0	0	0	0	DONUT RELLENA MANJAR
3814	2503814	98	DONUT RELLENA CHOCO			13	0	104	0	1150	8	0	19-07-2024 13:26:01	0	0	0	0	0	0	0	0	0	0	0	19-07-2024 13:26:01	19-07-2024 13:26:01	0	0	0	0	0	DONUT RELLENA CHOCO
3825	2503825	98	BM MEDIALUNA			13	0	104	0	370	0	0	19-07-2024 13:26:01	0	0	0	0	0	0	0	0	0	0	0	19-07-2024 13:26:01	19-07-2024 13:26:01	0	0	0	0	0	BM MEDIALUNA
3828	2038280	98	PAN HAMBURGUESA			16	0	104	0	2990	0	0	19-07-2024 13:26:01	0	0	0	0	0	0	0	0	0	0	0	19-07-2024 13:26:01	19-07-2024 13:26:01	0	0	0	0	0	PAN HAMBURGUESA
3831	2038310	98	CHOCOSITO PARRILLERO			16	0	104	0	2990	0	0	19-07-2024 13:26:01	0	0	0	0	0	0	0	0	0	0	0	19-07-2024 13:26:01	19-07-2024 13:26:01	0	0	0	0	0	CHOCOSITO PARRILLERO
